pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.0344470880314473e-4,8.042852317145753e-4,-0.622116488129208,-1.6643389114134242,0,195,,Combo,Combo_vs_DMSO
HALLMARK_ALLOGRAFT_REJECTION,1.037344398340249e-4,8.042852317145753e-4,-0.6666082761681089,-1.77891041225783,0,185,,Combo,Combo_vs_DMSO
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.1259993244004054e-4,8.042852317145753e-4,-0.7195663386298246,-1.813429231026514,0,85,,Combo,Combo_vs_DMSO
HALLMARK_E2F_TARGETS,1.0346611484738747e-4,8.042852317145753e-4,-0.689482975803898,-1.8456237408367095,0,198,,Combo,Combo_vs_DMSO
HALLMARK_INFLAMMATORY_RESPONSE,1.0353038616834041e-4,8.042852317145753e-4,-0.7123793257436399,-1.9062158890788503,0,197,,Combo,Combo_vs_DMSO
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.037344398340249e-4,8.042852317145753e-4,-0.7651056961422303,-2.04176056314361,0,185,,Combo,Combo_vs_DMSO
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.1139578923916676e-4,8.042852317145753e-4,-0.8103632786547826,-2.057014545580098,0,93,,Combo,Combo_vs_DMSO
HALLMARK_MTORC1_SIGNALING,2.0701790704895975e-4,0.0010350895352447987,-0.5860135222883125,-1.5664542569676534,1,193,,Combo,Combo_vs_DMSO
HALLMARK_G2M_CHECKPOINT,2.0688941760628945e-4,0.0010350895352447987,-0.5890230700377674,-1.5758045862633439,1,195,,Combo,Combo_vs_DMSO
HALLMARK_IL2_STAT5_SIGNALING,2.0693222969477495e-4,0.0010350895352447987,-0.5967514485768525,-1.5973978756879252,1,198,,Combo,Combo_vs_DMSO
HALLMARK_MYC_TARGETS_V2,0.0010678690080683437,0.00485395003667429,-0.680822754329008,-1.6385410106517204,8,57,,Combo,Combo_vs_DMSO
HALLMARK_HYPOXIA,0.0016554578375581996,0.006897740989825832,-0.5376249670207808,-1.4391267625472477,15,198,,Combo,Combo_vs_DMSO
HALLMARK_KRAS_SIGNALING_UP,0.0024831867563372997,0.009254323619995262,-0.5300395618902553,-1.4188219772457116,23,198,,Combo,Combo_vs_DMSO
HALLMARK_MYC_TARGETS_V1,0.002591210613598673,0.009254323619995262,-0.5370618203459095,-1.4340141942449218,24,186,,Combo,Combo_vs_DMSO
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0037263223268812753,0.012421074422937585,-0.5259322651622753,-1.4058529441830214,35,193,,Combo,Combo_vs_DMSO
HALLMARK_APICAL_SURFACE,0.014026812313803377,0.04383378848063555,-0.6410430016253006,-1.490441246069438,112,44,,Combo,Combo_vs_DMSO
HALLMARK_COMPLEMENT,0.015352697095435684,0.04515499145716378,-0.5035057341324581,-1.3436550746541769,147,185,,Combo,Combo_vs_DMSO
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.017792489914140893,0.04942358309483581,-0.49684288760577344,-1.3291963265399784,171,195,,Combo,Combo_vs_DMSO
HALLMARK_ESTROGEN_RESPONSE_LATE,0.02533085194375517,0.06666013669409256,-0.48902928312187904,-1.3072422053729766,244,191,,Combo,Combo_vs_DMSO
HALLMARK_COAGULATION,0.06149247357745276,0.1537311839436319,-0.4886037027133884,-1.2776855192930834,575,134,,Combo,Combo_vs_DMSO
HALLMARK_GLYCOLYSIS,0.07001034126163391,0.16669128871817598,-0.46235528888170196,-1.237823552730011,676,199,,Combo,Combo_vs_DMSO
HALLMARK_APOPTOSIS,0.08850020946795141,0.20113683969988957,-0.4664398244995735,-1.2353186816700312,844,161,,Combo,Combo_vs_DMSO
HALLMARK_P53_PATHWAY,0.12166172106824925,0.25346191889218594,0.3070951242934359,1.1088467314846324,40,198,,Combo,Combo_vs_DMSO
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.11764025448235975,0.25346191889218594,-0.5086682433736829,-1.2556767771333486,1016,71,,Combo,Combo_vs_DMSO
HALLMARK_XENOBIOTIC_METABOLISM,0.12695130776387883,0.25390261552775767,-0.4430925301767093,-1.184709217253432,1227,192,,Combo,Combo_vs_DMSO
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.1560214529497806,0.300041255672655,-0.5269244363132083,-1.240223749306025,1279,48,,Combo,Combo_vs_DMSO
HALLMARK_UV_RESPONSE_DN,0.17117978124668154,0.3169995949012621,-0.4444442674425666,-1.1677325120953095,1611,144,,Combo,Combo_vs_DMSO
HALLMARK_KRAS_SIGNALING_DN,0.19666701169651174,0.35119109231519957,-0.4262493946845708,-1.1393938082285922,1899,193,,Combo,Combo_vs_DMSO
HALLMARK_APICAL_JUNCTION,0.21782793249818821,0.3755654008589452,-0.4203876884629689,-1.1248918411335513,2103,197,,Combo,Combo_vs_DMSO
HALLMARK_HEDGEHOG_SIGNALING,0.22752808988764045,0.37921348314606745,-0.5235710588415445,-1.183877760542572,1781,36,,Combo,Combo_vs_DMSO
HALLMARK_FATTY_ACID_METABOLISM,0.24593796159527326,0.3966741316052794,-0.42494920641211875,-1.1204323118216584,2330,151,,Combo,Combo_vs_DMSO
HALLMARK_ADIPOGENESIS,0.27004655975168135,0.41179918347548405,-0.41014693835656235,-1.0978906705851146,2609,198,,Combo,Combo_vs_DMSO
